Nome do Município,Código,Gentílico,IDEB - Anos iniciais do ensino fundamental,IDEB - Anos finais do ensino fundamental,Percentual das receitas oriundas de fontes externas - %,PIB per capita - R$,Índice de Desenvolvimento Humano Municipal (IDHM),Mortalidade Infantil - óbitos por mil nascidos vivos,Área da unidade territorial - km²,População estimada - pessoas,Salário médio mensal dos trabalhadores formais - salários mínimos,
Água Branca,2500106,agua branquense,6,4.4,96.5,6474.12,0.572,20.83,236.608,10172,1.6,
Aguiar,2500205,aguiarense,4.6,3.9,95.9,6782.94,0.597,-,344.708,5567,1.5,
Alagoa Grande,2500304,alagoa-grandense,4.1,3.2,95.1,7376.05,0.582,13.74,320.563,28604,1.8,
Alagoa Nova,2500403,alagoa-novense,4.4,3.3,93,10995.28,0.576,17.86,122.255,20596,1.7,
Alagoinha,2500502,alagoinhense,4.2,3.7,-,5927.65,0.595,12.5,96.980,14376,1.9,
Alcantil,2500536,alcantilense,4.6,4.2,96,6537.31,0.578,43.86,305.394,5475,1.5,
Algodão de Jandaíra,2500577,algodoense,4,3.1,93.6,8578.86,0.548,-,220.248,2488,1.6,
Alhandra,2500601,alhandrense,3.9,3.3,-,37520.73,0.582,14.02,182.663,19412,2.4,
São João do Rio do Peixe,2500700,são-joanense,4.2,3.4,94.8,7777.22,0.608,14.85,473.752,17934,1.7,
Amparo,2500734,amparense,5.3,3.4,90.7,7780.90,0.606,51.28,121.984,2229,1.4,
Aparecida,2500775,aparecidense,4.5,3.4,96,7843.83,0.578,16.95,295.705,8348,1.7,
Araçagi,2500809,araçagiense,4,3.3,97.1,7332.06,0.549,13.16,231.155,17061,1.6,
Arara,2500908,araraense,4.8,3.2,-,5895.99,0.548,7.58,99.111,13448,1.7,
Araruna,2501005,ararunense,4.3,3.3,95.8,6475.90,0.567,16.67,241.302,20237,1.6,
Areia,2501104,areiense,4,3,-,7902.07,0.594,13.7,266.596,22940,1.8,
Areia de Baraúnas,2501153,baraunense,-,3.6,97.7,7678.95,0.562,-,112.089,2137,1.5,
Areial,2501203,areialense,5.1,3.6,93.7,6723.82,0.608,24.39,35.641,6938,2.1,
Aroeiras,2501302,aroeirense,4.1,2.9,96.7,6081.79,0.548,8.72,374.697,19178,1.5,
Assunção,2501351,assunçãoense,4.6,3.4,98,7596.12,0.609,14.93,126.428,3876,1.6,
Baía da Traição,2501401,baianense,4.6,3.6,93.6,7731.49,0.581,12.42,102.242,8951,1.6,
Bananeiras,2501500,bananeirense,4.7,3,87.9,8209.22,0.568,6.49,257.753,21195,1.6,
Baraúna,2501534,baraunense,5.5,4.4,98.3,6675.43,0.558,14.71,50.582,4843,1.7,
Barra de Santana,2501575,barrasantense,5,4.1,96.7,6341.53,0.567,51.02,374.374,8245,1.8,
Barra de Santa Rosa,2501609,santa rosense,4.7,3.7,92.8,6878.96,0.562,20.69,775.655,15286,1.9,
Barra de São Miguel,2501708,barrense,4.8,4.7,96.4,6607.65,0.572,14.49,595.213,5943,1.6,
Bayeux,2501807,baienense,4.2,3.2,87.8,11297.51,0.649,12.74,27.536,96583,2.6,
Belém,2501906,belenense,4.5,3.2,90.4,7739.66,0.592,8.44,100.153,17640,1.4,
Belém do Brejo do Cruz,2502003,belenense do brejo do cruz,4.3,4.4,88.5,6962.49,0.578,-,601.167,7334,1.7,
Bernardino Batista,2502052,batistense,4.4,3.8,96.3,7398.05,0.558,64.52,50.628,3398,1.7,
Boa Ventura,2502102,boa-venturense,3.7,3.9,97.4,6003.21,0.599,13.89,170.580,5410,1.3,
Boa Vista,2502151,boavistense,6.6,4.1,89.5,16200.32,0.649,9.35,476.542,6986,1.6,
Bom Jesus,2502201,bom-jesuense,4.5,3.2,94.2,7984.33,0.597,-,46.169,2550,1.6,
Bom Sucesso,2502300,bom-sucessense,4.7,3.4,92.8,6568.00,0.592,-,184.102,4989,1.6,
Bonito de Santa Fé,2502409,bonitense,4.4,2.6,86.2,6799.04,0.574,-,228.327,11814,1.7,
Boqueirão,2502508,boqueirãoense,4.7,2.9,94.7,8878.11,0.607,23.65,374.523,17757,1.6,
Igaracy,2502607,igaraciense,4.6,4.2,97,7341.00,0.610,10.75,192.260,6182,1.5,
Borborema,2502706,borboremense,4.2,2.8,98.4,9255.49,0.558,14.71,25.979,5399,1.5,
Brejo do Cruz,2502805,brejo-cruzense,4.8,4.1,89.2,6886.06,0.597,17.75,399.020,14006,1.8,
Brejo dos Santos,2502904,brejo-santense,4,3,94.8,6829.12,0.619,-,93.846,6435,1.1,
Caaporã,2503001,caaporãense,3.7,3.3,87.1,18728.66,0.602,5.03,150.168,21717,2.2,
Cabaceiras,2503100,cabaceirense,6,4.6,95.4,7172.67,0.611,30.77,452.925,5511,1.8,
Cabedelo,2503209,cabedelense,4.3,3.7,65.8,35645.02,0.748,6.42,31.915,66858,2.6,
Cachoeira dos Índios,2503308,cachoeirense (dos Índios),3.9,3.1,-,9163.53,0.587,7.87,193.068,10191,1.6,
Cacimba de Areia,2503407,cacimbense (de Areia),3.9,3.8,97.5,7592.62,0.596,-,220.380,3731,1.5,
Cacimba de Dentro,2503506,cacimbense (de Dentro),4.3,3.5,-,5897.27,0.564,13.7,168.107,17153,1.8,
Cacimbas,2503555,cacimbense,4.1,3.1,96.9,5954.65,0.523,28.57,126.543,7148,1.6,
Caiçara,2503605,caiçarense,4.5,3,96.1,7619.89,0.592,-,127.914,7288,1.5,
Cajazeiras,2503704,cajazeirense,4.4,3,76.7,14834.31,0.679,15.46,565.899,61816,1.7,
Cajazeirinhas,2503753,cajazeirinhense,5.2,3.7,98.6,8072.13,0.550,-,287.894,3181,1.8,
Caldas Brandão,2503803,caldas-brandense,4.7,3.3,93.6,8136.43,0.568,9.17,55.854,5986,1.4,
Camalaú,2503902,camalauense,5,4.7,96.1,7917.84,0.567,22.73,543.688,5996,1.5,
Campina Grande,2504009,campinense,4.7,3.4,75,18716.38,0.720,12.71,593.026,407754,2.2,
Capim,2504033,capiense,3.5,3.1,97.8,7294.11,0.533,30.3,78.786,6441,1.6,
Caraúbas,2504074,caraúbense,4.7,-,96.6,6702.26,0.585,22.73,497.204,4143,1.5,
Carrapateira,2504108,carrapateirense,5.7,4.5,97.7,8458.57,0.603,0,54.524,2635,1.7,
Casserengue,2504157,cassereguense,4.8,3.5,97,6494.37,0.514,10.99,201.381,7436,1.7,
Catingueira,2504207,catingueirense,4,3.3,98.1,6961.91,0.574,-,529.457,4927,1.5,
Catolé do Rocha,2504306,catoleense,4.5,3.3,89.8,9891.77,0.640,16.2,552.112,30360,1.5,
Caturité,2504355,caturiteense,4.1,3.4,96.2,11758.33,0.623,29.85,118.080,4810,1.7,
Conceição,2504405,conceiçãoense,3.8,3.3,94.3,7004.81,0.592,14.65,579.436,18903,1.5,
Condado,2504504,condadense,4.6,4.5,97.1,6833.48,0.594,11.36,279.435,6743,1.7,
Conde,2504603,condense,4,3.1,82.7,23962.37,0.618,15.38,172.950,24380,2.1,
Congo,2504702,congoense,4.4,3.6,96,9172.71,0.581,19.23,333.471,4785,1.4,
Coremas,2504801,coremense,4.1,3.8,95.2,8029.18,0.592,25.38,379.493,15418,1.6,
Coxixola,2504850,coxixolense,-,-,94.9,7336.72,0.641,-,169.878,1909,2.0,
Cruz do Espírito Santo,2504900,Santo espírito-santense,3.9,2.5,-,6892.28,0.552,14.49,191.104,17389,1.7,
Cubati,2505006,cubatiense,4.4,2.7,98.2,7062.00,0.566,28.04,136.966,7234,1.6,
Cuité,2505105,cuiteense,5.4,3.9,89.7,7735.40,0.591,23.44,741.840,20337,1.7,
Cuitegi,2505204,cuitegiense,4.1,3.1,90,6402.74,0.570,15.75,39.302,6815,1.5,
Cuité de Mamanguape,2505238,cuiteense,4.2,2.8,97.9,7463.42,0.524,12.35,108.448,6349,1.5,
Curral de Cima,2505279,curralense de cima,3.6,3,-,7252.97,0.529,-,85.096,5238,1.6,
Curral Velho,2505303,curral-velhense,4.4,3.8,98.2,7596.90,0.606,-,222.957,2520,1.5,
Damião,2505352,damiãoense,4.1,4.1,96.7,6209.25,0.521,-,185.685,5296,1.9,
Desterro,2505402,desterrense,3.9,3.5,97.1,6377.78,0.580,-,179.387,8280,1.6,
Vista Serrana,2505501,vista-serranense,-,4.4,94.7,6846.75,0.566,20.83,61.362,3777,1.4,
Diamante,2505600,diamantense,-,3.5,90.2,6853.94,0.593,11.63,269.111,6570,1.8,
Dona Inês,2505709,inesense,5.3,4.2,90.4,6358.18,0.545,42.94,166.128,10419,2.3,
Duas Estradas,2505808,duas-estradense,4,3.5,97.3,8911.87,0.603,-,26.262,3606,1.6,
Emas,2505907,emense,4.3,3.9,98,7442.60,0.595,-,240.901,3507,1.6,
Esperança,2506004,esperancense,5.5,3.8,88.9,10866.06,0.623,14.34,161.138,33031,1.6,
Fagundes,2506103,fagundense,4.7,3.6,97.4,7181.31,0.560,20.83,189.026,11345,2.0,
Frei Martinho,2506202,frei-martinhense,4.5,3.3,95.2,7535.78,0.641,-,244.317,2988,1.7,
Gado Bravo,2506251,gadobravense,3.8,2.8,97.4,5995.78,0.513,31.01,192.406,8443,1.7,
Guarabira,2506301,guarabirense,4.5,3.2,81.7,13653.35,0.673,17.4,165.744,58529,1.5,
Gurinhém,2506400,gurinheense,3.7,2.8,95.4,7804.86,0.556,9.09,346.067,14126,1.7,
Gurjão,2506509,gurjaense,4.9,3.3,97,7480.10,0.625,50,340.506,3407,1.4,
Ibiara,2506608,ibiarense,4.4,3.4,95.6,6667.06,0.586,-,244.484,5949,1.7,
Imaculada,2506707,imaculadense,4.5,3.2,96.6,5615.96,0.557,13.25,316.984,11792,1.9,
Ingá,2506806,ingaense,3.8,2.8,97.5,7167.98,0.592,12.99,267.630,18105,1.5,
Itabaiana,2506905,itabaianense,4.3,3.3,93.1,9303.07,0.613,2.87,218.915,24519,1.7,
Itaporanga,2507002,itaporanguense,4.3,3.5,92.1,9176.95,0.615,10.61,468.059,24674,1.5,
Itapororoca,2507101,itapororoquense,4,3.1,97.2,7347.40,0.564,24.59,146.067,18527,1.6,
Itatuba,2507200,itatubense,3.9,2.9,94.1,7946.12,0.562,6.29,244.222,10809,1.7,
Jacaraú,2507309,jacarauense,4,3.6,86.8,7185.04,0.558,5.29,253.033,14348,1.6,
Jericó,2507408,jericoense,4.6,-,93.5,6952.60,0.603,24.39,179.311,7730,1.5,
João Pessoa,2507507,pessoense,4.6,3.7,66.1,22366.71,0.763,13.33,211.475,801718,2.7,
Juarez Távora,2507606,tavorense,4.6,2.5,97.2,6445.73,0.579,8.93,70.841,7901,1.7,
Juazeirinho,2507705,juazeirinhense,4.1,2.6,93.9,7069.88,0.567,17.75,467.526,18061,1.5,
Junco do Seridó,2507804,juncoense,4.1,3.8,-,7854.92,0.617,21.51,170.420,7111,1.5,
Juripiranga,2507903,juripiranguense,4.1,3.6,98,7935.94,0.548,16.57,78.557,10721,1.4,
Juru,2508000,juruense,4.8,3.3,93.4,5992.75,0.570,17.24,403.269,9880,2.0,
Lagoa,2508109,lagoense,4.2,3.2,97.2,6280.43,0.563,18.52,177.902,4676,1.5,
Lagoa de Dentro,2508208,lagoa-dentrense,4.2,3.4,94.6,7436.87,0.570,23.44,84.508,7645,1.4,
Lagoa Seca,2508307,lagoa-sequense,4.9,-,90.5,7855.95,0.627,25.32,107.603,27398,1.8,
Lastro,2508406,lastrense,4.6,3.4,97.1,7021.40,0.533,-,102.669,2745,1.6,
Livramento,2508505,livramentense,5,3.8,96.7,6081.39,0.566,17.39,270.753,7371,1.6,
Logradouro,2508554,logradourense,5.5,4.4,96.9,6563.16,0.583,-,37.996,4299,1.7,
Lucena,2508604,lucenense,4,3.1,86.7,15135.84,0.583,12.74,88.549,12965,1.6,
Mãe d'Água,2508703,mãe-daguense,5.3,4.1,96.2,6369.87,0.542,46.51,243.754,4017,1.7,
Malta,2508802,maltense,4.6,3.7,95.6,6974.09,0.642,-,156.242,5668,1.6,
Mamanguape,2508901,mamanguapense,3.8,3.2,93.7,10880.32,0.585,7.8,340.482,44694,1.8,
Manaíra,2509008,manairense,-,-,96.1,5412.24,0.543,12.74,352.570,11094,1.6,
Marcação,2509057,marcaçãoense,3.2,-,97.3,8252.01,0.529,7.19,123.262,8475,1.6,
Mari,2509107,mariense,3.8,3.4,-,6917.59,0.548,7.63,154.824,21806,1.6,
Marizópolis,2509156,marizopolense,4.3,3.3,97.8,6579.58,0.608,10.64,63.610,6569,1.6,
Massaranduba,2509206,massarandubense,4.4,3.6,96.4,6824.41,0.567,14.71,205.957,13755,1.7,
Mataraca,2509305,mataraquense,-,3.3,92.6,23615.23,0.536,13.16,184.188,8345,2.4,
Matinhas,2509339,matinhense,3.8,3.1,98.2,9338.16,0.541,-,38.124,4517,1.5,
Mato Grosso,2509370,matogrossense,-,-,95.9,6976.22,0.565,-,83.522,2892,1.6,
Maturéia,2509396,matureense,4.4,3.4,96.3,6683.33,0.572,19.05,83.687,6516,1.8,
Mogeiro,2509404,mogeirense,3.8,3.3,92,7480.49,0.574,18.18,214.389,13300,1.6,
Montadas,2509503,montadense,5.1,3.3,94.5,7661.56,0.590,21.98,31.691,5611,1.7,
Monte Horebe,2509602,horebense,4.6,2.9,97.8,6750.71,0.587,14.49,116.173,4793,1.7,
Monteiro,2509701,monteirense,5.1,3.7,82,10583.98,0.628,10.12,986.356,33039,1.7,
Mulungu,2509800,mulunguense,4.3,3.4,-,6484.39,0.565,-,195.314,9882,1.5,
Natuba,2509909,natubense,4.7,3.1,96.5,6528.78,0.541,9.26,203.387,10455,1.6,
Nazarezinho,2510006,nazarezinhense,4.5,3.4,91.4,6537.33,0.562,9.35,192.165,7307,1.8,
Nova Floresta,2510105,nova-florestense,4.4,-,97.2,5398.70,0.601,6.8,47.379,10644,1.7,
Nova Olinda,2510204,nova-olindense,4.8,4.1,95.7,6374.57,0.573,38.46,84.253,5971,1.5,
Nova Palmeira,2510303,nova-palmeirense,4.6,4.4,86.2,6825.69,0.595,-,310.352,4849,1.8,
Olho d'Água,2510402,olho-daguense,5.2,3.9,-,6212.82,0.572,31.58,596.129,6578,1.5,
Olivedos,2510501,olivedense,5,5.4,96.4,6850.09,0.603,-,317.917,3916,1.8,
Ouro Velho,2510600,ouro-velhense,5.1,-,97.2,8025.78,0.614,-,129.400,3033,1.5,
Parari,2510659,parariense,4.8,-,95.9,8401.90,0.584,-,207.688,1782,1.3,
Passagem,2510709,passagense,4.1,2.7,97.7,8903.35,0.620,-,111.876,2404,1.5,
Patos,2510808,patoense,4.8,3.8,78,12536.20,0.701,16.15,473.056,107067,1.7,
Paulista,2510907,paulistense,5.3,4.7,86,7476.71,0.587,-,576.838,12263,1.8,
Pedra Branca,2511004,pedra-branquense,4.9,3.9,95.2,7446.16,0.599,15.87,112.932,3800,1.4,
Pedra Lavrada,2511103,pedra-lavradense,5.6,4.3,93.6,7892.14,0.574,21.74,351.680,8053,1.9,
Pedras de Fogo,2511202,pedras-foguense,4.3,3.4,86.4,15775.46,0.590,4.59,404.882,28395,1.5,
Piancó,2511301,piancoense,4.2,3.5,94.1,9666.11,0.621,11.56,564.735,16039,1.7,
Picuí,2511400,picuíense,5.6,4.1,88.3,7760.49,0.608,22.81,661.657,18704,1.9,
Pilar,2511509,pilarense,3.7,3.1,-,6279.65,0.579,18.87,101.999,11863,1.4,
Pilões,2511608,piloense,4.1,3.1,-,6843.18,0.560,14.71,64.446,6667,1.8,
Pilõezinhos,2511707,pilõezinhense,3.9,3.3,-,6707.42,0.564,-,43.901,5099,1.7,
Pirpirituba,2511806,pirpiritubense,-,2.9,88.7,6419.77,0.595,12.99,79.844,10570,1.8,
Pitimbu,2511905,pitimbuense,3.9,-,-,7452.94,0.570,15.56,136.435,18938,2.0,
Pocinhos,2512002,pocinhense,4.2,3.9,95.6,10156.78,0.591,3.34,628.084,18451,1.8,
Poço Dantas,2512036,poçodantense,3.7,4,89.2,6728.83,0.525,17.54,97.251,3774,1.7,
Poço de José de Moura,2512077,pocense,4.1,3.5,89.9,7729.19,0.612,44.44,100.971,4282,1.6,
Pombal,2512101,pombalense,5.7,4.5,91.2,9441.58,0.634,11.68,889.491,32739,1.9,
Prata,2512200,prataense,5.4,4.5,97.5,8885.81,0.608,-,192.011,4145,1.4,
Princesa Isabel,2512309,princesense,-,3.4,-,7633.36,0.606,16.03,367.975,23247,1.6,
Puxinanã,2512408,puxinanaense,5.1,2.8,96.9,6150.27,0.617,13.51,72.677,13638,1.6,
Queimadas,2512507,queimadense,4.8,3.3,85.8,9060.88,0.608,14.35,402.923,43945,1.7,
Quixaba,2512606,quixabense,-,4.5,98.1,8635.88,0.622,0,156.683,1933,1.6,
Remígio,2512705,remigioense,4.5,3.1,90.8,7311.24,0.607,3.46,180.897,19368,1.6,
Pedro Régis,2512721,pedroregense,3.7,2.7,98.5,6526.84,0.542,-,73.560,6067,1.7,
Riachão,2512747,riachãoense,4.5,3.2,94.5,6938.35,0.574,-,90.151,3570,1.4,
Riachão do Bacamarte,2512754,riachonense,4.3,3.5,98.2,7534.31,0.553,-,38.370,4503,1.3,
Riachão do Poço,2512762,riachãoense,4.6,3.6,92.2,7748.85,0.555,-,39.905,4481,1.9,
Riacho de Santo Antônio,2512788,riachoantoniense,4.4,-,97,9610.08,0.594,46.51,91.324,1955,1.8,
Riacho dos Cavalos,2512804,riachoense,4.7,3.7,96.7,6772.51,0.568,8.13,264.025,8587,1.7,
Rio Tinto,2512903,rio-tintense,4.1,3.1,94.9,9425.54,0.585,21.43,465.666,24090,1.6,
Salgadinho,2513000,salgadinhense,4.1,3.7,97.2,5757.74,0.563,-,184.240,3927,1.8,
Salgado de São Félix,2513109,salgadense,3.3,3,94.8,6407.77,0.568,37.88,202.436,12145,1.8,
Santa Cecília,2513158,ceciliense,4.4,3.3,95.7,7109.33,0.525,-,224.303,6570,1.6,
Santa Cruz,2513208,santa-cruzense,5.5,3.6,92.7,6491.03,0.618,-,210.166,6582,1.6,
Santa Helena,2513307,santa-helenense,5.4,4.5,94.1,6496.93,0.609,-,210.322,5902,1.6,
Santa Inês,2513356,santineense,4.9,-,97.2,6711.09,0.572,40.82,324.425,3595,1.3,
Santa Luzia,2513406,santa-luziense,5.3,4.1,89.1,9771.64,0.682,18.35,455.717,15341,1.5,
Santana de Mangueira,2513505,santanense,4.7,4.3,96.1,6759.57,0.535,-,402.153,5191,1.6,
Santana dos Garrotes,2513604,santana-garrotense,4,2.7,96.9,6542.62,0.594,-,353.815,7067,1.6,
Joca Claudino,2513653,Joca-Claudinense,4.8,3.3,97,7576.70,0.622,-,74.007,2685,1.6,
Santa Rita,2513703,santa-ritense,3.7,2.9,83.1,15524.01,0.627,9.07,730.205,135915,1.7,
Santa Teresinha,2513802,santa-teresinhense,4.4,4.2,95.6,7503.25,0.627,-,357.950,4582,1.7,
Santo André,2513851,santoandreense,4.8,4.2,97.9,7723.00,0.600,-,197.713,2529,1.3,
São Bento,2513901,são-bentense,4.7,4.1,93,9333.97,0.580,15.56,248.200,33847,1.7,
São Bentinho,2513927,sãobentinhense,4.6,4.2,98.4,7407.80,0.606,-,196.823,4497,1.4,
São Domingos do Cariri,2513943,sãodominguense,-,4.5,90.8,7302.52,0.589,-,218.800,2582,2.0,
São Domingos,2513968,sãodominguense,4.9,4,96.3,7044.14,0.548,-,169.105,3091,1.7,
São Francisco,2513984,francisquense,5.8,4.3,96.6,7698.62,0.580,24.39,95.055,3369,1.8,
São João do Cariri,2514008,caririense,5.1,-,86.5,8242.00,0.622,-,653.094,4309,1.3,
São João do Tigre,2514107,são-joão-tigrense,4.8,-,97.2,5496.22,0.552,-,816.116,4427,1.6,
São José da Lagoa Tapada,2514206,são-joseense,4,3.8,92.9,6360.60,0.530,11.24,341.806,7678,1.5,
São José de Caiana,2514305,caianense,3.6,3.3,96.1,5944.00,0.565,37.97,176.327,6256,1.6,
São José de Espinharas,2514404,espinharense,4,-,98,7673.90,0.577,-,725.656,4659,1.8,
São José dos Ramos,2514453,sanjoseense,4,3.1,87.3,6576.87,0.541,13.89,98.188,5920,1.6,
São José de Piranhas,2514503,piranhense,4.7,3.9,73.4,8378.25,0.591,11.54,677.305,20062,1.5,
São José de Princesa,2514552,sãojoseense,-,-,97,5773.89,0.565,23.26,158.023,3897,1.6,
São José do Bonfim,2514602,bonfinense,3.9,3.1,94.2,5739.32,0.578,55.56,134.724,3530,2.1,
São José do Brejo do Cruz,2514651,sãojoseense,4.6,4.1,95.7,9092.47,0.581,0,254.796,1793,1.8,
São José do Sabugi,2514701,sabugiense,5.3,4.5,97.1,8485.89,0.617,-,206.917,4135,1.6,
São José dos Cordeiros,2514800,são-joseense (dos Cordeiros),4.8,3.1,95.9,5858.73,0.556,-,376.793,3720,1.4,
São Mamede,2514909,são-mamedense,5.1,3.9,93.8,7743.01,0.641,10,530.728,7738,1.4,
São Miguel de Taipu,2515005,taipuense,3.5,3.1,-,6883.04,0.548,11.9,92.526,7131,1.2,
São Sebastião de Lagoa de Roça,2515104,lagoense (de Roça),5.2,3.5,91.4,6027.02,0.594,5.88,49.964,11762,1.9,
São Sebastião do Umbuzeiro,2515203,são-sebastianense,4.9,3.9,96.9,6759.39,0.581,19.61,460.573,3469,1.5,
Sapé,2515302,sapeense,4.3,3.3,87.4,8983.68,0.569,11.51,315.532,52463,1.6,
São Vicente do Seridó,2515401,seridoense,4.4,3.4,-,5221.16,0.555,52.91,276.471,10994,1.9,
Serra Branca,2515500,serra-branquense,5,3.3,-,7652.83,0.628,12.42,687.535,13637,1.6,
Serra da Raiz,2515609,serra-raizense,4.2,-,97.9,8011.88,0.626,-,29.082,3137,1.5,
Serra Grande,2515708,serra-grandense,5.4,4.5,97.5,12945.90,0.586,24.39,83.474,3089,1.6,
Serra Redonda,2515807,serra-redondense,4.3,2.8,98.1,7046.80,0.570,28.85,55.905,7036,1.5,
Serraria,2515906,serrariense,3.8,3,-,7651.49,0.547,-,65.299,6123,1.7,
Sertãozinho,2515930,sertãozienhense,4.7,3.8,88.9,7568.54,0.621,12.35,32.798,4969,1.5,
Sobrado,2515971,sobradense,4.5,2.9,-,8677.57,0.573,41.67,61.743,7754,1.7,
Solânea,2516003,solanense,4,3.3,95,8133.02,0.595,34.3,232.970,26551,1.9,
Soledade,2516102,soledadense,4.3,3.2,92.3,9823.85,0.616,-,560.044,14853,1.8,
Sossêgo,2516151,sosseguense,4.8,3.4,96.9,7283.85,0.573,-,154.748,3522,1.5,
Sousa,2516201,sousense,4.9,3.7,86.5,13537.32,0.668,15.34,738.547,69196,1.6,
Sumé,2516300,sumeense,4.9,3.6,89.4,7702.33,0.627,17.17,838.070,16872,1.8,
Tacima,2516409,tacimense,4.5,3.8,96.2,5928.86,0.551,-,246.005,10896,1.5,
Taperoá,2516508,taperoaense,4.6,3.3,87.9,6836.65,0.578,14.78,628.409,15193,1.5,
Tavares,2516607,tavarense,5,3.6,82.8,6349.54,0.586,33.33,237.340,14615,1.9,
Teixeira,2516706,teixeirense,4.1,3.2,95,7643.63,0.605,14.02,160.900,15085,1.7,
Tenório,2516755,tenorense,4,2.7,-,7971.92,0.581,-,105.271,3039,1.6,
Triunfo,2516805,triunfense,4.2,3.5,95.1,6295.44,0.609,8.62,219.866,9465,1.5,
Uiraúna,2516904,uiraunense,4.1,3.3,84,8857.77,0.636,5.52,294.498,15307,1.5,
Umbuzeiro,2517001,umbuzeirense,4.8,3.7,97.4,6386.51,0.584,20.55,186.554,9901,1.7,
Várzea,2517100,varzense,6.1,5.3,96.5,9111.14,0.707,-,190.526,2784,1.4,
Vieirópolis,2517209,vieiropolense,-,-,97.7,6164.63,0.571,20.41,146.779,5327,1.5,
Zabelê,2517407,zabeleense,4.6,3.6,95.3,6773.58,0.623,-,109.394,2227,1.4,

Fonte: Cidades e Estados IBGE.
